Date/Time,ABF:Zone Mean Air Temperature [C](Hourly),ANTEROOM:Zone Mean Air Temperature [C](Hourly),FREEZER1:Zone Mean Air Temperature [C](Hourly),FREEZER2:Zone Mean Air Temperature [C](Hourly),FREEZER3:Zone Mean Air Temperature [C](Hourly),FREEZER4:Zone Mean Air Temperature [C](Hourly),GUDANG:Zone Mean Air Temperature [C](Hourly),ABF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ANTEROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FREEZER4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly) 
 10/17  13:00:00,-40.0,4.0,-18.0,-17.999999999999996,-18.0,-17.999999999999996,15.219159374362524,43571518.19884376,54922536.60651296,31246458.391216945,31513331.034759235,30756365.81546516,31034220.970115244 
 10/17  14:00:00,-40.0,4.0,-18.0,-17.999999999999996,-18.0,-18.000000000000004,15.357472196855882,43778764.97422483,55894801.21493962,31484073.878262483,31751762.763532773,30981052.316149957,31259371.09991672 
 10/17  15:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.000000000000004,15.50722208552412,43905899.48111019,56342446.04028805,31606880.648640625,31875897.786332455,31090137.80564668,31369406.08264793 
 10/17  16:00:00,-40.0,4.000000000000001,-18.0,-18.0,-18.0,-18.0,15.662725993368456,43975143.92959707,56424958.484806746,31645649.237081755,31916911.71808074,31118367.140348893,31399595.83242049 
 10/17  17:00:00,-40.0,4.000000000000001,-18.000000000000004,-18.0,-18.0,-17.999999999999996,15.80655473507197,44017313.17476313,56430003.244609,31653265.250297014,31927541.5650597,31117414.561461717,31401425.208902493 
 10/17  18:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.915724915008306,13385287.15234519,1768666.3128432543,31395822.613107,31673221.39259921,30852426.431151554,31139306.33978644 
 10/17  19:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.960375177153031,13274979.25018847,1201690.5119470484,30936018.862583518,31213986.22457315,30384242.904338732,30671342.524303365 
 10/17  20:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.920440946521273,13166922.09567274,966077.4570979743,30448611.960151687,30721993.417363033,29884411.13640123,30166446.680235196 
 10/17  21:00:00,-39.99999999999999,4.0,-18.0,-18.000000000000004,-18.0,-18.0,15.816877335429753,13045862.495489733,822320.9352627757,30260848.483184524,30527328.42501366,29683166.585858077,29957780.93263039 
 10/17  22:00:00,-40.00000000000001,4.0,-18.0,-18.0,-18.0,-18.0,15.690237001299096,12941562.195471626,724631.1422477232,30326123.43648295,30586491.968800016,29736505.49996296,30004548.434275772 
 10/17  23:00:00,-39.99999999999999,4.0,-18.0,-17.999999999999996,-18.0,-18.0,15.56508902422045,12861053.044586675,652283.5635725405,30401701.959068894,30657447.15288499,29802864.095558636,30065924.75853123 
 10/17  24:00:00,-40.0,4.0,-18.0,-18.000000000000004,-18.0,-18.0,15.45139543046586,12802666.408156157,597210.3389245301,30313373.051797576,30565735.748215657,29708257.568043116,29967683.58676341 
 10/18  01:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.351866897090083,12761846.357113954,557024.8531442385,30097953.23843346,30347813.175148726,29488855.3468403,29745608.80211211 
 10/18  02:00:00,-40.0,4.000000000000001,-18.0,-18.0,-17.999999999999996,-17.999999999999996,15.265299317464994,12734639.036199654,533315.8875826127,29900226.897874855,30148181.508506153,29288458.331029188,29543186.57983067 
 10/18  03:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.189111791077458,12718315.83918071,512833.8738975782,29819327.19631192,30066042.959266275,29205083.048838627,29458467.155820586 
 10/18  04:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.12103007485703,12709303.176745549,496574.98429725063,29786661.203297604,30032671.353585433,29169875.08935235,29422451.76645291 
 10/18  05:00:00,-39.99999999999999,4.0,-18.0,-18.0,-18.0,-18.0,15.059228278798935,12703383.029896935,484313.6699164172,29763817.54650728,30009375.38140571,29144802.086380538,29396839.25410534 
 10/18  06:00:00,-40.0,4.0,-18.0,-18.0,-18.0,-18.0,15.002114543955011,12698441.291547537,475472.5959136086,29809261.843274917,30054482.990295336,29188384.565343663,29440012.32305417 
 10/18  07:00:00,-40.0,3.9999999999999996,-18.0,-18.0,-18.0,-18.0,14.949024242215017,12694417.577620119,468459.94104199513,29866593.51579466,30111549.7325482,29244313.933433432,29495620.392075293 
